City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Port Hardy,CA,50.6996,-127.4199,50.0,57,40,3.44,scattered clouds
79,Yeppoon,AU,-23.1333,150.7333,89.6,45,15,4.61,few clouds
80,Senanga,ZM,-16.1167,23.2667,65.16,81,0,3.24,clear sky
81,Sitka,US,57.0531,-135.33,41.0,45,20,9.22,few clouds
82,Kapaa,US,22.0752,-159.319,75.2,83,90,25.32,light rain
83,Saint-Pierre,RE,-21.3393,55.4781,75.2,64,0,9.22,clear sky
84,Santa Maria Da Boa Vista,BR,-8.8078,-39.8256,83.61,41,96,2.59,overcast clouds
85,Road Town,VG,18.4167,-64.6167,77.0,83,20,12.66,few clouds
86,Kokstad,ZA,-30.5472,29.4241,59.92,39,47,5.1,scattered clouds
87,Tilichiki,RU,60.4667,166.1,-7.64,88,100,4.41,overcast clouds
88,Xuddur,SO,4.1213,43.8894,68.34,89,0,14.94,clear sky
89,Hasaki,JP,35.7333,140.8333,59.0,58,0,10.36,clear sky
90,Provideniya,RU,64.3833,-173.3,-7.6,77,0,13.42,clear sky
91,Castro,BR,-24.7911,-50.0119,55.98,95,5,3.18,clear sky
92,Upernavik,GL,72.7868,-56.1549,10.45,84,100,2.46,overcast clouds
93,Pisco,PE,-13.7,-76.2167,75.2,78,0,4.61,clear sky
94,Lorengau,PG,-2.0226,147.2712,85.12,69,95,10.87,overcast clouds
95,Itarema,BR,-2.9248,-39.9167,79.18,83,91,10.33,overcast clouds
96,Acari,PE,-15.4311,-74.6158,75.07,67,32,3.24,scattered clouds
97,Buala,SB,-8.145,159.5921,83.7,74,19,0.89,light rain
98,Aklavik,CA,68.2191,-135.0107,8.6,66,75,12.66,broken clouds
99,Esperance,AU,-33.8667,121.9,68.0,64,98,19.57,overcast clouds
100,Sohag,EG,26.557,31.6948,60.8,31,0,4.61,clear sky
101,Taoudenni,ML,22.6783,-3.9836,66.15,27,0,12.39,clear sky
102,Newport,GB,51.5877,-2.9984,46.99,79,100,21.21,light rain
103,Bredasdorp,ZA,-34.5322,20.0403,71.6,56,55,13.8,light rain
104,Coxim,BR,-18.5067,-54.76,75.07,77,0,3.04,clear sky
105,Porto Novo,BJ,6.4965,2.6036,81.93,79,100,9.26,overcast clouds
106,Arieseni,RO,46.4833,22.7667,25.75,92,100,2.21,overcast clouds
107,Nizhneangarsk,RU,55.7833,109.55,9.18,87,0,2.91,clear sky
108,Kilindoni,TZ,-7.9139,39.6668,80.46,78,34,11.54,scattered clouds
109,Fremont,US,37.5483,-121.9886,55.99,44,90,9.84,overcast clouds
110,Bintulu,MY,3.1667,113.0333,75.2,94,20,5.7,few clouds
111,Colares,PT,38.7992,-9.4469,52.0,82,27,14.0,scattered clouds
112,Anadyr,RU,64.75,177.4833,-18.4,63,0,2.24,clear sky
113,Ponta Do Sol,PT,32.6667,-17.1,55.99,80,0,4.0,clear sky
114,Haines Junction,CA,60.7522,-137.5108,21.2,33,2,2.3,clear sky
115,Asfi,MA,32.2994,-9.2372,52.97,73,4,14.27,clear sky
116,Yazman,PK,29.1212,71.7446,69.21,24,0,7.36,clear sky
117,Shimoda,JP,34.6667,138.95,59.0,63,40,12.66,scattered clouds
118,Sao Filipe,CV,14.8961,-24.4956,69.49,78,2,9.73,clear sky
119,Vaini,TO,-21.2,-175.2,82.4,54,20,12.66,few clouds
120,Policoro,IT,40.2115,16.6726,51.01,92,100,4.14,light rain
121,Saint George,US,37.1041,-113.5841,60.8,12,1,21.85,light rain
122,Madang,PG,-5.2246,145.7966,83.52,72,8,3.87,clear sky
123,Santa Ana,US,33.7456,-117.8678,62.01,51,20,11.5,few clouds
124,Qaanaaq,GL,77.484,-69.3632,4.06,82,60,3.69,broken clouds
125,Maniitsoq,GL,65.4167,-52.9,18.0,96,100,16.24,light snow
126,Alexandria,EG,31.2156,29.9553,60.8,67,0,2.3,clear sky
127,Vilyuysk,RU,63.7553,121.6247,10.22,92,100,16.53,overcast clouds
128,Yar-Sale,RU,66.8333,70.8333,-23.39,86,88,7.09,overcast clouds
129,Palkonda,IN,18.6,83.75,67.87,84,0,2.19,clear sky
130,Hanzhong,CN,33.0728,107.0303,50.4,76,100,1.61,light rain
131,Taicheng,CN,38.731,113.228,44.56,60,100,2.64,overcast clouds
132,Katsuura,JP,35.1333,140.3,60.8,36,0,20.71,clear sky
133,Berlevag,NO,70.8578,29.0864,15.53,90,56,18.48,broken clouds
134,Najran,SA,17.4924,44.1277,64.4,25,0,4.61,clear sky
135,Cardoso,BR,-20.0819,-49.9142,71.69,85,79,3.42,broken clouds
136,Barguzin,RU,53.6167,109.6167,18.09,91,51,7.36,broken clouds
137,Adrar,MR,20.5022,-10.0711,60.87,38,100,11.79,overcast clouds
138,Airai,TL,-8.9266,125.4092,69.58,83,71,0.98,broken clouds
139,Longyearbyen,SJ,78.2186,15.6401,19.4,93,20,2.3,few clouds
140,Balabac,PH,7.9868,117.0645,82.47,74,100,17.11,light rain
141,Bardiyah,LY,31.7561,25.0865,65.01,47,0,8.3,clear sky
142,Geraldton,AU,-28.7667,114.6,78.8,73,75,11.5,broken clouds
143,Constitucion,CL,-35.3333,-72.4167,57.67,77,100,6.82,overcast clouds
144,Waipawa,NZ,-41.4122,175.5153,66.2,77,75,27.63,moderate rain
145,Dikson,RU,73.5069,80.5464,-23.53,88,100,6.02,overcast clouds
146,Terney,RU,45.0503,136.6092,30.16,86,0,12.55,clear sky
147,Harper,LR,4.375,-7.7169,79.48,87,39,6.82,scattered clouds
148,Vanimo,PG,-2.6741,141.3028,83.23,72,95,5.35,overcast clouds
149,Lagoa,PT,39.05,-27.9833,59.74,89,100,22.86,overcast clouds
150,Ferme-Neuve,CA,46.7001,-75.4493,30.2,64,87,1.25,overcast clouds
151,Narsaq,GL,60.9167,-46.05,24.8,63,75,4.61,broken clouds
152,Beni,CD,0.5,29.4667,63.82,86,0,4.36,clear sky
153,Coracora,PE,-15.0333,-73.7833,50.27,84,98,4.5,overcast clouds
154,Ambon,ID,-3.6954,128.1814,87.8,62,20,9.22,few clouds
