City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
594,Umm Lajj,SA,77.25,clear sky,25.0213,37.2685,Moon light Furnished Units
600,Eyl,SO,76.59,broken clouds,7.9803,49.8164,Amiin Hotel
605,Domoni,KM,78.98,few clouds,-12.2569,44.5319,Al Djadid
608,Kieta,PG,85.37,clear sky,-6.2167,155.6333,Uruna Bay Retreat
625,Anito,PH,80.64,overcast clouds,12.4497,125.2886,The Yellow House
629,Progreso,MX,77.0,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
635,Mogadishu,SO,78.4,overcast clouds,2.0371,45.3438,Olympic Hotel
636,Broken Hill,AU,78.8,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
641,Quatre Cocos,MU,75.99,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
643,Dubbo,AU,84.2,broken clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
647,Puerto Suarez,BO,75.7,clear sky,-18.95,-57.8,Hotel casa real
651,Palu,ID,76.32,moderate rain,-0.8917,119.8707,Hotel Santika Palu
653,Fare,PF,82.58,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
654,Arlit,NE,79.05,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
657,Souillac,MU,75.2,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
664,Pedernales,DO,78.37,overcast clouds,18.0384,-71.744,Hotel Costa Marina
666,Farafangana,MG,76.28,scattered clouds,-22.8167,47.8333,Miarina
667,Rantauprapat,ID,75.88,broken clouds,2.1,99.8333,Permata Land Hotel & Resort
668,San-Pedro,CI,77.56,overcast clouds,4.7485,-6.6363,Hotel Maria
681,Tamandare,BR,78.73,clear sky,-8.7597,-35.1047,Pousada 100 Passos
682,Banda Aceh,ID,79.23,clear sky,5.5577,95.3222,Sulthan Hotel International
686,San Benito Abad,CO,82.89,overcast clouds,8.929,-75.0271,Hotel San Benito
687,Kokopo,PG,83.84,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
